epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4299,0.94095,4.79859,1.09021,0.23203,0.42698,0.20547,0.18975,0.44791,3.04322,0.85608,6.003e-05,6.003e-05,6.003e-05
2,16.1114,0.70456,2.62627,0.97408,0.48751,0.52532,0.47292,0.42324,0.47761,3.21198,0.87909,0.000124639,0.000124639,0.000124639
3,20.2363,0.66497,1.82254,0.96239,0.66574,0.63774,0.69977,0.65105,0.44421,1.90899,0.84692,0.000187047,0.000187047,0.000187047
4,24.0864,0.64477,1.36985,0.93989,0.72263,0.75755,0.79568,0.72507,0.47414,1.17606,0.8554,0.000247254,0.000247254,0.000247254
5,28.1146,0.63131,1.08745,0.92453,0.75149,0.79909,0.84351,0.75554,0.47978,1.01034,0.85102,0.000305259,0.000305259,0.000305259
6,32.2874,0.62766,0.93712,0.92156,0.87022,0.82836,0.92916,0.83876,0.47738,0.84687,0.85772,0.000361064,0.000361064,0.000361064
7,35.9509,0.68217,0.87273,0.98038,0.87497,0.87818,0.92697,0.84085,0.47212,0.70311,0.86325,0.000414667,0.000414667,0.000414667
8,39.5396,0.6861,0.87284,1.00148,0.82287,0.88226,0.92957,0.84079,0.45763,0.69453,0.86136,0.00046607,0.00046607,0.00046607
9,43.918,0.65838,0.7838,0.92394,0.87047,0.8695,0.95101,0.86707,0.46466,0.60447,0.86289,0.000515271,0.000515271,0.000515271
10,47.543,0.60979,0.6982,0.95915,0.82983,0.84864,0.91696,0.85495,0.4349,0.59737,0.84101,0.000562271,0.000562271,0.000562271
11,50.9436,0.63962,0.70881,0.97149,0.69108,0.92711,0.92341,0.81137,0.50472,0.75129,0.86702,0.000556945,0.000556945,0.000556945
12,55.289,0.63764,0.64333,0.91654,0.84391,0.89167,0.96131,0.88717,0.44707,0.59939,0.84877,0.00054594,0.00054594,0.00054594
13,58.8709,0.64507,0.68732,0.93393,0.9287,0.89611,0.95666,0.86482,0.45806,0.55248,0.85503,0.000534934,0.000534934,0.000534934
14,62.365,0.60137,0.61494,0.93522,0.94589,0.87656,0.95197,0.85951,0.44839,0.52486,0.8455,0.000523928,0.000523928,0.000523928
15,66.1525,0.59568,0.57611,0.93405,0.8922,0.94222,0.96029,0.86132,0.46524,0.43355,0.8536,0.000512923,0.000512923,0.000512923
16,70.3245,0.60685,0.58481,0.95725,0.88484,0.90252,0.94696,0.85922,0.47732,0.50128,0.86705,0.000501917,0.000501917,0.000501917
17,73.827,0.60323,0.54376,0.93681,0.90862,0.89472,0.97466,0.89722,0.45145,0.47039,0.85204,0.000490912,0.000490912,0.000490912
18,77.4834,0.57901,0.52427,0.93043,0.90959,0.94779,0.96939,0.88946,0.46598,0.44393,0.84974,0.000479907,0.000479907,0.000479907
19,81.7988,0.56399,0.49222,0.88905,0.93038,0.94772,0.9825,0.90612,0.44689,0.37868,0.84426,0.000468901,0.000468901,0.000468901
20,85.5451,0.61278,0.51304,0.9391,0.95987,0.95072,0.98394,0.9086,0.44985,0.34135,0.85139,0.000457895,0.000457895,0.000457895
21,89.0948,0.6136,0.53148,0.96292,0.95333,0.93273,0.98297,0.89822,0.4617,0.36886,0.85528,0.00044689,0.00044689,0.00044689
22,93.1377,0.57225,0.48991,0.90467,0.92725,0.95954,0.98548,0.90611,0.46803,0.36843,0.85864,0.000435884,0.000435884,0.000435884
23,96.9365,0.54057,0.47161,0.90445,0.95051,0.96175,0.98545,0.89192,0.44589,0.33496,0.85584,0.000424879,0.000424879,0.000424879
24,100.366,0.55152,0.4894,0.90514,0.97821,0.94566,0.98297,0.89726,0.43281,0.34413,0.84468,0.000413873,0.000413873,0.000413873
25,103.963,0.57322,0.53569,0.93201,0.94061,0.96133,0.98594,0.90016,0.43866,0.35315,0.84227,0.000402868,0.000402868,0.000402868
